<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GMKN;D;200103;000000;192.34;194.72;191.4;194.48;13083900
GMKN;D;200106;000000;194.62;196.2;193.72;195.88;9660400
GMKN;D;200108;000000;195.84;198.5;194.68;198.5;13909600
GMKN;D;200109;000000;198.64;199.06;196.42;198.38;17336500
GMKN;D;200110;000000;198.22;199.06;196.68;198.78;10467900
GMKN;D;200113;000000;199.2;203.8;198.5;203.62;23448200
GMKN;D;200114;000000;204.1;205.46;199.18;200;28752500
GMKN;D;200115;000000;200.48;204.58;200.12;203.96;23027500
GMKN;D;200116;000000;205;209;204.24;209;20754400
GMKN;D;200117;000000;208.94;215.38;208.38;215.24;34938200
GMKN;D;200120;000000;217.52;221;216.5;218.5;26988300
GMKN;D;200121;000000;217.5;217.68;214.5;214.5;17996200
GMKN;D;200122;000000;216;216.86;211.76;213.1;19756600
GMKN;D;200123;000000;213.16;216.22;210.1;211.46;20259000
GMKN;D;200124;000000;212.06;215.52;211.5;211.88;15417100
GMKN;D;200127;000000;209.4;211.68;208.2;211;22057000
GMKN;D;200128;000000;211.32;214.16;210.04;212.82;19685700
GMKN;D;200129;000000;213.64;214.68;212;212.3;19028000
GMKN;D;200130;000000;211.32;212.4;208.7;208.8;16561300
GMKN;D;200131;000000;210.82;211.86;205.84;208;19491500
GMKN;D;200203;000000;207.18;207.78;203.66;204.1;22495300
GMKN;D;200204;000000;205.4;211.24;205.4;208.98;39815400
GMKN;D;200205;000000;210.6;214;208.7;213.16;30260100
GMKN;D;200206;000000;215.14;216.66;212.3;212.4;21132000
GMKN;D;200207;000000;211.5;213.62;210.54;212;19692500
GMKN;D;200210;000000;213.16;214.56;211.62;214.42;18211100
GMKN;D;200211;000000;215.58;219.42;214.8;219.1;18643800
GMKN;D;200212;000000;219.52;219.94;217.54;219.66;16129700
GMKN;D;200213;000000;219.26;220;214.7;215.1;23478400
GMKN;D;200214;000000;215.52;216.28;212.04;215.3;15093700
GMKN;D;200217;000000;216;218.18;215.62;217.9;9607200
GMKN;D;200218;000000;217.8;219.46;217.02;218.18;14375400
GMKN;D;200219;000000;221.32;226.98;221.3;225.2;31063800
GMKN;D;200220;000000;225.6;226.22;221.8;223.42;23496700
GMKN;D;200221;000000;222;224.34;221.84;222.2;11926400
GMKN;D;200225;000000;217.12;220.88;215.5;215.54;27441500
GMKN;D;200226;000000;215.02;222;213.22;218.26;39421500
GMKN;D;200227;000000;217;220.28;211.6;212.38;34365400
GMKN;D;200228;000000;207.08;211.18;199.6;202.5;63930400
GMKN;D;200302;000000;206.48;209.94;196.6;201.6;52558100
GMKN;D;200303;000000;205.62;209.4;203;207.14;36301700
GMKN;D;200304;000000;206.54;208.98;205.02;207.56;24239300
GMKN;D;200305;000000;208.8;209.98;205.24;207.8;25719700
GMKN;D;200306;000000;204.76;218.86;197.14;217.62;81187500
GMKN;D;200310;000000;210.98;236.56;205;212.3;89653900
GMKN;D;200311;000000;217.1;224.74;200.66;202.38;59668600
GMKN;D;200312;000000;197.7;200;177.76;185;84937600
GMKN;D;200313;000000;181.92;195.88;176.52;180.38;77571100
GMKN;D;200316;000000;182.18;182.18;160.14;170.9;70369400
GMKN;D;200317;000000;168.54;174.18;162.24;171.8;61553200
GMKN;D;200318;000000;168.7;169.16;155;155;58929300
GMKN;D;200319;000000;156.04;162.98;142;162.52;78710400
GMKN;D;200320;000000;168.36;177.32;163.12;163.58;71475300
GMKN;D;200323;000000;157.5;165.8;152.78;162.4;45003600
