<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;D;200103;000000;321;322.85;320.65;322.1;2600000
MTSS;D;200106;000000;322.7;323.45;321.3;323.45;1227090
MTSS;D;200108;000000;323.4;328.5;321.7;328.15;3799120
MTSS;D;200109;000000;318.35;324.4;315.65;324.3;3661320
MTSS;D;200110;000000;324.05;324.05;319.25;319.4;3721570
MTSS;D;200113;000000;319.45;320.5;316.65;319.45;2963690
MTSS;D;200114;000000;319.75;321.4;317.2;317.3;2687340
MTSS;D;200115;000000;317.15;319.55;315.4;318.65;2192260
MTSS;D;200116;000000;318.5;319.8;317;319.8;1828300
MTSS;D;200117;000000;320;322;317.75;321.15;2620370
MTSS;D;200120;000000;322.15;327.2;321.95;327.2;2755350
MTSS;D;200121;000000;326;330.5;323.6;328.7;3297860
MTSS;D;200122;000000;329.15;334.15;329;333.8;4031920
MTSS;D;200123;000000;332.95;334.9;326.05;329.95;2347890
MTSS;D;200124;000000;330.5;336.45;330.5;336.45;2209180
MTSS;D;200127;000000;335.25;336;325.1;326.75;4064180
MTSS;D;200128;000000;327;331.7;325.65;327.25;2390360
MTSS;D;200129;000000;327.9;328.75;326.25;328.5;1559110
MTSS;D;200130;000000;327.95;332.5;324.6;330.5;2726520
MTSS;D;200131;000000;331.1;333.5;326;326.4;2961980
MTSS;D;200203;000000;325.5;332.2;324.7;331.95;2906460
MTSS;D;200204;000000;331.9;336.1;330.55;332.95;2608650
MTSS;D;200205;000000;333.05;335.5;330.1;331.4;4782830
MTSS;D;200206;000000;333.2;334.5;329.45;331;2622130
MTSS;D;200207;000000;332.2;334.15;327.55;331;4175470
MTSS;D;200210;000000;331.05;332.8;326.85;330.7;2990330
MTSS;D;200211;000000;330;334.15;329.6;332.7;2870180
MTSS;D;200212;000000;333;340.45;331.05;339;3604720
MTSS;D;200213;000000;339.55;340.15;336.65;337.8;2673090
MTSS;D;200214;000000;338.2;341;338;340.55;2454000
MTSS;D;200217;000000;340.35;342.6;339.3;341;966270
MTSS;D;200218;000000;340.7;342.3;337.3;341.4;1876090
MTSS;D;200219;000000;341.4;348.9;341.1;348.1;3006690
MTSS;D;200220;000000;349.4;352.45;346.95;347.5;2814250
MTSS;D;200221;000000;347.2;353.05;344.25;348;2804020
MTSS;D;200225;000000;345.85;348;337.5;337.5;4331660
MTSS;D;200226;000000;336.9;342.7;330.4;339;4438550
MTSS;D;200227;000000;336.75;338.8;326;329;4361120
MTSS;D;200228;000000;322.3;333.3;307.25;320.5;7689590
MTSS;D;200302;000000;329.1;332.65;314.1;327.2;6643420
MTSS;D;200303;000000;333.4;335.4;325.05;328.25;6589970
MTSS;D;200304;000000;325.15;328.85;319.25;328.75;3769080
MTSS;D;200305;000000;331.55;331.55;324.5;329.55;3273980
MTSS;D;200306;000000;326.4;328.05;311.8;318.8;7511630
MTSS;D;200310;000000;299.95;321.35;293;294.8;12644580
MTSS;D;200311;000000;299.5;301.2;283.1;293.3;7903940
MTSS;D;200312;000000;287.1;299.9;271.7;272.95;12334060
MTSS;D;200313;000000;275.2;293.55;266;269;13742310
MTSS;D;200316;000000;270;272.9;255;267.1;7345540
MTSS;D;200317;000000;263.2;272;256.2;268.45;5505590
MTSS;D;200318;000000;262.25;268.4;253.35;256.75;5489970
MTSS;D;200319;000000;259;266.95;250.55;265.5;9630630
MTSS;D;200320;000000;270.8;283.3;270.35;276.5;14553460
MTSS;D;200323;000000;269.7;276.5;261;262.1;11364150
MTSS;D;200324;000000;270.1;280;268.85;280;9294100
MTSS;D;200325;000000;281.4;287.85;269.5;278.35;12698790
MTSS;D;200326;000000;279;287.65;272.25;285.95;8119960
MTSS;D;200327;000000;288.55;293;281.35;290;10211390
MTSS;D;200330;000000;287;297;283.25;296.95;4464570
MTSS;D;200331;000000;297.2;300.65;291;299.1;8015390
MTSS;D;200401;000000;297.55;299.75;294;297;3420570
MTSS;D;200402;000000;298.45;302.85;295.85;299.3;6520290
MTSS;D;200403;000000;298.5;304.4;295;295.6;8971440
MTSS;D;200406;000000;299.7;310.5;297.3;308.85;5073410
MTSS;D;200407;000000;310.55;314.55;306.2;308.7;5653550
MTSS;D;200408;000000;307.8;313.85;306.1;313.85;3368620
MTSS;D;200409;000000;314.65;314.7;308.95;310.45;5688530
MTSS;D;200410;000000;311.1;311.3;306.05;310.95;1755100
MTSS;D;200413;000000;310.9;311.35;303.55;308;2774730
MTSS;D;200414;000000;308.55;311.8;307.8;310.95;2886240
MTSS;D;200415;000000;311;311;300.75;304;5462180
MTSS;D;200416;000000;304.9;309.8;299.25;303.4;5599310
MTSS;D;200417;000000;306.35;309.85;304.4;305.35;3529350
MTSS;D;200420;000000;304.85;309.25;303.5;306;3463560
MTSS;D;200421;000000;303.85;304.95;293.5;302;6673840
MTSS;D;200422;000000;300.5;312.55;299.45;309.7;4803480
MTSS;D;200423;000000;312.2;314.25;306.65;314.25;3286360
MTSS;D;200424;000000;313.6;314.1;306.1;306.8;3563850
MTSS;D;200427;000000;308.2;311.95;307.3;311.4;3097330
MTSS;D;200428;000000;310.55;319.65;308.7;313.5;5076370
MTSS;D;200429;000000;315.05;323.15;313.5;319.2;6059490
MTSS;D;200430;000000;321.2;323.95;317.3;319.6;4749530
MTSS;D;200504;000000;315.05;318.05;312.35;316.55;2936790
MTSS;D;200505;000000;318.15;321.05;317.35;320.4;1743070
MTSS;D;200506;000000;321;321.9;317.55;318;2432010
MTSS;D;200507;000000;318.3;322.45;318;320.3;2507300
MTSS;D;200508;000000;321;326.6;320.5;325.3;2873930
MTSS;D;200512;000000;324.6;325.8;320.3;323.6;3459370
MTSS;D;200513;000000;322.5;324.4;318.05;318.45;6130060
MTSS;D;200514;000000;317.4;320.7;315.05;315.15;5377080
MTSS;D;200515;000000;318.15;322.35;318.05;320.15;3190410
MTSS;D;200518;000000;321.2;326.3;320.3;325.5;3553860
MTSS;D;200519;000000;326.35;328.85;324;327.25;2302490
MTSS;D;200520;000000;327.75;339.85;327;332.55;4973170
MTSS;D;200521;000000;333;337.95;328.3;328.7;3314380
MTSS;D;200522;000000;327.85;330.95;325.1;327.1;2817370
MTSS;D;200525;000000;327.25;332.35;326.85;332.2;1472080
MTSS;D;200526;000000;333.9;339;331.55;331.9;3778830
MTSS;D;200527;000000;331.4;337.7;326.3;326.5;5406770
MTSS;D;200528;000000;327.7;329.85;321.7;324.05;6757040
MTSS;D;200529;000000;323.15;324.85;318;320;7124030
MTSS;D;200601;000000;322.95;323.55;316.85;319.6;7443050
MTSS;D;200602;000000;320.95;327.6;320.55;326.7;7051620
MTSS;D;200603;000000;327.4;333.5;326.75;329.7;7200950
MTSS;D;200604;000000;329.55;330.6;321.15;323.5;6516610
MTSS;D;200605;000000;323.9;328.55;321.7;326.25;6721610
MTSS;D;200608;000000;326.9;331.45;324.05;325.5;5384950
MTSS;D;200609;000000;326.85;330.35;324.65;329.15;6594600
MTSS;D;200610;000000;329.15;331.2;324.8;326.85;5042140
MTSS;D;200611;000000;326.35;326.45;322.05;322.8;4710080
