<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;240205;100000;276.94;278;276.9;277.41;3583730
SBER;60;240205;110000;277.4;278.57;277.4;277.9;3405920
SBER;60;240205;120000;277.9;278.37;277.8;277.89;1053920
SBER;60;240205;130000;277.9;278.14;277.62;278.13;965130
SBER;60;240205;140000;278.13;278.2;277.7;277.87;769270
SBER;60;240205;150000;277.87;277.88;277.43;277.53;827890
SBER;60;240205;160000;277.53;277.54;277.07;277.3;1794190
SBER;60;240205;170000;277.31;278.17;277.27;278.15;1483090
SBER;60;240205;180000;278.15;278.15;277.26;277.26;953350
SBER;60;240205;190000;277.68;277.76;277.34;277.74;333630
SBER;60;240205;200000;277.74;277.79;277.68;277.79;195340
SBER;60;240205;210000;277.77;277.86;277.63;277.76;251160
SBER;60;240205;220000;277.76;277.86;277.69;277.83;158420
SBER;60;240205;230000;277.84;277.87;277.71;277.84;242000
SBER;60;240206;100000;278;278.4;277.84;278.12;2020800
SBER;60;240206;110000;278.11;278.92;278.11;278.58;2898360
SBER;60;240206;120000;278.57;278.73;277.3;277.72;2352090
SBER;60;240206;130000;277.72;278.18;277.6;277.9;936830
SBER;60;240206;140000;277.86;278.2;277.7;278.06;979390
SBER;60;240206;150000;278.06;278.17;277.7;277.76;797460
SBER;60;240206;160000;277.76;278.2;277.75;278.09;513520
SBER;60;240206;170000;278.05;278.51;278.04;278.45;1956160
SBER;60;240206;180000;278.45;278.86;278.34;278.75;1430680
SBER;60;240206;190000;278.63;278.99;278.1;278.71;828790
SBER;60;240206;200000;278.73;278.73;278.42;278.5;292430
SBER;60;240206;210000;278.5;278.5;278.44;278.5;263130
SBER;60;240206;220000;278.5;278.5;278.42;278.5;409530
SBER;60;240206;230000;278.5;278.67;278.49;278.67;246200
SBER;60;240207;100000;278.81;280.62;278.81;280.49;7687180
SBER;60;240207;110000;280.49;280.98;280.11;280.98;2776730
SBER;60;240207;120000;280.98;281.22;280.67;280.95;3336500
SBER;60;240207;130000;280.96;282.9;280.95;282.78;7737030
SBER;60;240207;140000;282.78;283.5;282.58;283.49;8703460
SBER;60;240207;150000;283.49;283.5;282.65;282.93;2496440
SBER;60;240207;160000;282.95;283.14;282.75;283;2161720
SBER;60;240207;170000;283;283;282.52;282.57;2268950
SBER;60;240207;180000;282.61;282.63;282.22;282.22;2483050
SBER;60;240207;190000;282.33;282.82;282.12;282.72;851920
SBER;60;240207;200000;282.72;282.86;282.61;282.69;817520
SBER;60;240207;210000;282.69;283.43;282.65;283.41;937230
SBER;60;240207;220000;283.43;284;283.24;283.99;1549080
SBER;60;240207;230000;284;284.5;283.61;284.41;1540490
SBER;60;240208;100000;284.56;286.24;282.4;283.16;16543520
SBER;60;240208;110000;283.15;283.98;282.81;283.25;4130240
SBER;60;240208;120000;283.28;283.4;282.55;283.24;2589760
SBER;60;240208;130000;283.25;284.17;282.62;282.93;2964310
SBER;60;240208;140000;282.91;283.7;282.84;283.24;1921710
SBER;60;240208;150000;283.23;283.3;282.85;282.92;1420210
SBER;60;240208;160000;282.91;283.42;282.88;283.34;884760
SBER;60;240208;170000;283.35;285.35;283.35;284.42;4602370
SBER;60;240208;180000;284.42;284.43;282.82;282.82;2485980
SBER;60;240208;190000;282.94;283.23;282.56;282.9;1692020
SBER;60;240208;200000;282.87;283.15;282.8;282.96;491680
SBER;60;240208;210000;283;283.04;281.25;282.05;3161150
SBER;60;240208;220000;282.08;282.36;281.7;282.32;635550
SBER;60;240208;230000;282.29;282.59;282.07;282.17;537150
SBER;60;240209;100000;282.16;283.39;281.5;281.84;6397100
SBER;60;240209;110000;281.87;283;281.86;282.96;2672100
SBER;60;240209;120000;282.97;283.8;282.26;283.78;2760070
SBER;60;240209;130000;283.77;284;283.3;283.77;2158900
SBER;60;240209;140000;283.77;283.95;283.26;283.71;1550490
SBER;60;240209;150000;283.72;284;283.01;283.25;2441770
SBER;60;240209;160000;283.25;283.28;282.6;283.05;1166470
SBER;60;240209;170000;283.06;283.7;283;283.14;1279940
SBER;60;240209;180000;283.13;283.6;282.87;283.6;1154950
SBER;60;240209;190000;283.5;283.5;283.1;283.24;605320
SBER;60;240209;200000;283.24;283.3;283.04;283.3;743140
SBER;60;240209;210000;283.3;283.52;283.28;283.35;336560
SBER;60;240209;220000;283.34;283.44;283.3;283.43;283170
SBER;60;240209;230000;283.38;283.5;283.2;283.5;751450
SBER;60;240212;100000;283.67;285.5;283.5;285.24;7043100
SBER;60;240212;110000;285.25;285.29;284.62;284.85;2801870
SBER;60;240212;120000;284.86;285.39;284.62;285.38;2430200
SBER;60;240212;130000;285.39;286.89;285.38;286.16;5456830
SBER;60;240212;140000;286.24;286.8;285.81;285.86;3105070
SBER;60;240212;150000;285.85;286.6;285.85;286.34;2023450
SBER;60;240212;160000;286.35;286.8;286.29;286.6;2082530
SBER;60;240212;170000;286.59;287.35;286.4;287.26;3019610
SBER;60;240212;180000;287.25;287.84;287.14;287.75;3152440
SBER;60;240212;190000;287.75;287.77;287.14;287.31;1149260
SBER;60;240212;200000;287.29;287.57;287.16;287.56;364540
SBER;60;240212;210000;287.57;287.63;287.22;287.27;528410
SBER;60;240212;220000;287.27;287.35;287.01;287.24;379290
SBER;60;240212;230000;287.22;287.29;287.16;287.28;330750
SBER;60;240213;100000;287.52;287.85;286.15;287.59;6631370
SBER;60;240213;110000;287.58;289;286.8;286.8;7580340
SBER;60;240213;120000;286.79;287.29;286.6;287.1;2707440
SBER;60;240213;130000;287.11;287.11;286.36;286.42;2708760
SBER;60;240213;150000;286.42;286.49;285.4;286.08;2540930
SBER;60;240213;160000;286.09;287.18;285.5;286.55;3855480
SBER;60;240213;170000;286.56;287.08;286.3;286.38;1574600
SBER;60;240213;180000;286.37;287.49;286.37;287.49;2885610
SBER;60;240213;190000;287.4;287.4;286.85;287.11;989660
SBER;60;240213;200000;287.04;287.15;287;287.12;314460
SBER;60;240213;210000;287.11;287.26;287.01;287.06;751840
SBER;60;240213;220000;287.05;287.14;287;287.02;439370
SBER;60;240213;230000;287.06;287.15;287.02;287.07;286230
