<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TCSG;D;200103;000000;1317.2;1353;1317.2;1332.4;86037
TCSG;D;200106;000000;1339.8;1349.4;1312;1322.8;54392
TCSG;D;200108;000000;1315.2;1350.2;1312.4;1350.2;69111
TCSG;D;200109;000000;1350.2;1368;1333.8;1366.8;65027
TCSG;D;200110;000000;1370;1401;1355;1398.4;73343
TCSG;D;200113;000000;1384.6;1434.4;1384.4;1426.4;309449
TCSG;D;200114;000000;1440.8;1450;1405.2;1426.4;405080
TCSG;D;200115;000000;1437.4;1473.2;1414.8;1453.8;439000
TCSG;D;200116;000000;1455.4;1490.2;1441.2;1452;696384
TCSG;D;200117;000000;1451.2;1467;1444.4;1465.2;173400
TCSG;D;200120;000000;1478.8;1484.6;1451.8;1473.2;171436
TCSG;D;200121;000000;1472;1472.6;1437.2;1448;290698
TCSG;D;200122;000000;1450;1467.6;1442.8;1444.8;346406
TCSG;D;200123;000000;1440;1458.4;1420.2;1436.4;335086
TCSG;D;200124;000000;1445;1467.8;1426.2;1437.4;247009
TCSG;D;200127;000000;1437.4;1439.2;1386;1399.2;248721
TCSG;D;200128;000000;1399.8;1456.6;1391.2;1450;185635
TCSG;D;200129;000000;1473.2;1476.8;1428.4;1468;230034
TCSG;D;200130;000000;1477.4;1487.2;1444;1486.2;50863
TCSG;D;200131;000000;1490;1527.8;1470;1515;91160
TCSG;D;200203;000000;1534.2;1565;1484.2;1545;198842
TCSG;D;200204;000000;1566.8;1616.8;1545.4;1590.4;215602
TCSG;D;200205;000000;1609.6;1656.6;1592.6;1635.2;355713
TCSG;D;200206;000000;1659.8;1676.8;1632.4;1645.2;218629
TCSG;D;200207;000000;1650;1670;1638.8;1662;139154
TCSG;D;200210;000000;1672.8;1699.8;1661;1670.6;176060
TCSG;D;200211;000000;1689;1698;1654.2;1684.8;182778
TCSG;D;200212;000000;1698.8;1698.8;1648;1671.6;95962
TCSG;D;200213;000000;1671;1680;1652.2;1657.8;72840
TCSG;D;200214;000000;1665.8;1673.6;1615.2;1650;89670
TCSG;D;200217;000000;1638.8;1639.4;1600;1610.2;128859
TCSG;D;200218;000000;1601;1636;1590.2;1604;89949
TCSG;D;200219;000000;1615.6;1624.8;1600.2;1624.8;54863
TCSG;D;200220;000000;1632;1663.8;1619.2;1644.4;89179
TCSG;D;200221;000000;1640.8;1659;1611.2;1631.6;72172
TCSG;D;200225;000000;1594.8;1614.8;1551;1590.6;150165
TCSG;D;200226;000000;1567;1602;1511.2;1595.2;342939
TCSG;D;200227;000000;1584;1615.8;1530;1551;190718
TCSG;D;200228;000000;1520;1530;1361;1474.2;415931
TCSG;D;200302;000000;1499.8;1514.2;1371;1437.4;459430
TCSG;D;200303;000000;1420;1441.6;1375;1419.6;243909
TCSG;D;200304;000000;1401.4;1462.4;1345.8;1454.4;203070
TCSG;D;200305;000000;1500;1523.4;1432.2;1482;196917
TCSG;D;200306;000000;1420;1427.2;1053.4;1116.6;899670
TCSG;D;200310;000000;1005;1220.2;952;1131;624601
TCSG;D;200311;000000;1153.6;1250;1125;1167.2;845609
TCSG;D;200312;000000;1083;1145.4;960.6;960.6;593045
TCSG;D;200313;000000;980;1088;910.4;1045;457944
TCSG;D;200316;000000;1020;1057;956;1010.8;427928
TCSG;D;200317;000000;1000.2;1029;920;934.6;307916
TCSG;D;200318;000000;935;939;851.4;873.8;469492
TCSG;D;200319;000000;888.8;945;810;934;426621
TCSG;D;200320;000000;980.4;1021.6;958;987;332948
TCSG;D;200323;000000;945;966;890.4;924.2;432353
TCSG;D;200324;000000;972;1010;934.6;951.6;302922
TCSG;D;200325;000000;970.6;1030;936.2;960.4;406089
