<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;200103;000000;0.046105;0.04634;0.045995;0.04624;11882340000
VTBR;D;200106;000000;0.04611;0.046195;0.04593;0.04611;7975960000
VTBR;D;200108;000000;0.04621;0.047;0.0462;0.046525;28637340000
VTBR;D;200109;000000;0.04682;0.0473;0.046575;0.047075;29466080000
VTBR;D;200110;000000;0.04712;0.04789;0.047005;0.0476;29871600000
VTBR;D;200113;000000;0.04765;0.04825;0.04761;0.04806;32627810000
VTBR;D;200114;000000;0.04815;0.048425;0.0471;0.04726;39426830000
VTBR;D;200115;000000;0.0472;0.04815;0.0467;0.046805;59757270000
VTBR;D;200116;000000;0.04701;0.047825;0.047;0.047825;30842340000
VTBR;D;200117;000000;0.047825;0.0482;0.0477;0.048035;27984400000
VTBR;D;200120;000000;0.04815;0.04884;0.048;0.048015;44759300000
VTBR;D;200121;000000;0.048015;0.05025;0.047415;0.04981;156194830000
VTBR;D;200122;000000;0.04994;0.05025;0.048885;0.04897;51515300000
VTBR;D;200123;000000;0.0486;0.04945;0.0482;0.0485;43043200000
VTBR;D;200124;000000;0.04875;0.049115;0.048;0.048;39887770000
VTBR;D;200127;000000;0.047495;0.04767;0.04625;0.04682;50352130000
VTBR;D;200128;000000;0.047125;0.047295;0.046425;0.0472;26031850000
VTBR;D;200129;000000;0.047325;0.04778;0.047;0.04754;34492140000
VTBR;D;200130;000000;0.04733;0.047735;0.04701;0.047045;22410820000
VTBR;D;200131;000000;0.04741;0.04756;0.0464;0.0464;30041510000
VTBR;D;200203;000000;0.04606;0.046565;0.045835;0.04615;28744030000
VTBR;D;200204;000000;0.04637;0.047435;0.04633;0.047255;38499030000
VTBR;D;200205;000000;0.04733;0.048175;0.047025;0.04768;39508130000
VTBR;D;200206;000000;0.048;0.04835;0.04771;0.048075;30385790000
VTBR;D;200207;000000;0.04804;0.04823;0.0474;0.04809;17492800000
VTBR;D;200210;000000;0.048115;0.0485;0.0474;0.0474;34748180000
VTBR;D;200211;000000;0.0476;0.04779;0.04742;0.04744;28011470000
VTBR;D;200212;000000;0.04748;0.04805;0.04745;0.04787;19635460000
VTBR;D;200213;000000;0.047785;0.04836;0.047585;0.048;28600180000
VTBR;D;200214;000000;0.04812;0.04825;0.047735;0.047885;11615610000
VTBR;D;200217;000000;0.048075;0.04818;0.04788;0.048095;9177590000
VTBR;D;200218;000000;0.047925;0.047995;0.0472;0.047205;23747150000
VTBR;D;200219;000000;0.0474;0.04758;0.04728;0.04747;13794480000
VTBR;D;200220;000000;0.047565;0.047785;0.04751;0.04751;12606630000
VTBR;D;200221;000000;0.04739;0.0481;0.0472;0.04796;19771390000
VTBR;D;200225;000000;0.04735;0.048275;0.04722;0.047295;52689530000
VTBR;D;200226;000000;0.04705;0.04774;0.04652;0.04723;52216370000
VTBR;D;200227;000000;0.046945;0.04713;0.04531;0.04539;46303030000
VTBR;D;200228;000000;0.0443;0.044495;0.04243;0.04333;88893820000
VTBR;D;200302;000000;0.04414;0.04444;0.042615;0.043;64207930000
VTBR;D;200303;000000;0.04371;0.04419;0.042835;0.043255;50685620000
VTBR;D;200304;000000;0.042825;0.0438;0.0427;0.043155;28688450000
VTBR;D;200305;000000;0.043575;0.04378;0.042925;0.04307;25375410000
VTBR;D;200306;000000;0.042585;0.0426;0.040835;0.04122;62444220000
VTBR;D;200310;000000;0.0371;0.0397;0.03478;0.03745;100095230000
VTBR;D;200311;000000;0.038285;0.038285;0.03617;0.036355;58704400000
VTBR;D;200312;000000;0.034995;0.034995;0.030735;0.03112;146656520000
VTBR;D;200313;000000;0.031765;0.032995;0.0312;0.031575;130719530000
VTBR;D;200316;000000;0.030365;0.030945;0.028755;0.03015;118314310000
VTBR;D;200317;000000;0.030285;0.03144;0.028905;0.029735;90493350000
VTBR;D;200318;000000;0.0291;0.02939;0.0276;0.02814;90350300000
VTBR;D;200319;000000;0.02853;0.03065;0.027855;0.03057;101096200000
VTBR;D;200320;000000;0.031165;0.033025;0.03109;0.0315;117246270000
VTBR;D;200323;000000;0.03026;0.032475;0.030105;0.0316;79736050000
VTBR;D;200324;000000;0.03301;0.033495;0.0324;0.03288;62990120000
