<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
250914;095900;303.18;303.18;303.18;303.18;2245
250914;100000;303.18;303.18;302.8;303.05;33316
250914;100100;303.13;303.13;302.8;302.8;15558
250914;100200;302.8;302.8;302.73;302.75;1645
250914;100300;302.74;302.77;302.72;302.76;3596
250914;100400;302.72;302.77;302.72;302.77;1664
250914;100500;302.77;302.84;302.77;302.83;2491
250914;100600;302.83;302.91;302.8;302.91;2217
250914;100700;302.91;302.92;302.86;302.91;2362
250914;100800;302.91;302.96;302.87;302.96;1647
250914;100900;302.91;302.96;302.91;302.96;1445
250914;101000;302.96;302.96;302.95;302.96;2040
250914;101100;302.95;302.96;302.92;302.96;1140
250914;101200;302.96;302.96;302.86;302.93;2323
250914;101300;302.96;302.96;302.86;302.9;1355
250914;101400;302.9;302.9;302.86;302.87;622
250914;101500;302.87;302.95;302.86;302.95;2923
250914;101600;302.95;302.96;302.91;302.96;766
250914;101700;302.96;302.96;302.92;302.96;3187
250914;101800;302.96;302.98;302.93;302.98;6618
250914;101900;302.98;302.98;302.96;302.96;1085
250914;102000;302.98;303;302.95;303;12991
250914;102100;303;303;302.94;302.99;3080
250914;102200;302.99;303;302.95;303;239
250914;102300;303;303.01;302.99;303.01;1727
250914;102400;303;303.01;302.96;303.01;1085
250914;102500;303.01;303.01;302.8;303;19061
250914;102600;302.95;303.01;302.87;303.01;982
250914;102700;303.01;303.01;302.86;302.98;3278
250914;102800;302.98;302.99;302.92;302.98;718
250914;102900;302.98;302.98;302.9;302.9;3439
250914;103000;302.9;302.9;302.88;302.88;1123
250914;103100;302.87;302.88;302.81;302.87;2256
250914;103200;302.86;302.88;302.85;302.87;1867
250914;103300;302.87;302.95;302.85;302.9;7352
250914;103400;302.95;302.95;302.9;302.9;1160
250914;103500;302.93;302.94;302.9;302.94;1233
250914;103600;302.94;302.94;302.92;302.94;661
250914;103700;302.94;302.94;302.92;302.94;434
250914;103800;302.94;302.94;302.93;302.94;158
250914;103900;302.94;302.94;302.92;302.94;1363
250914;104000;302.94;302.95;302.92;302.95;3391
250914;104100;302.95;302.95;302.92;302.95;1990
250914;104200;302.95;302.96;302.87;302.95;7192
250914;104300;302.96;302.96;302.85;302.96;1286
250914;104400;302.95;302.97;302.94;302.95;6257
250914;104500;302.95;302.95;302.8;302.94;4369
250914;104600;302.94;302.94;302.85;302.88;531
250914;104700;302.88;302.94;302.88;302.94;230
250914;104800;302.94;302.94;302.85;302.85;1598
250914;104900;302.85;302.9;302.85;302.89;339
250914;105000;302.89;302.9;302.85;302.9;1375
250914;105100;302.9;302.9;302.85;302.9;578
250914;105200;302.9;302.9;302.85;302.9;881
250914;105300;302.9;302.9;302.85;302.9;112
250914;105400;302.85;302.9;302.81;302.89;2302
250914;105500;302.89;302.9;302.81;302.9;1339
250914;105600;302.89;302.9;302.83;302.9;684
250914;105700;302.86;302.9;302.86;302.89;1671
250914;105800;302.89;302.9;302.86;302.89;1202
