TimeUtc,PriceClose,PriceAvg,PriceStdDev,SellVolume,BuyVolume,SellValue,BuyValue,Count
03/23/2026 03:59:30,320.16,320.16,0,7231,9222,2315076.96,2952515.52,189
03/23/2026 04:00:00,320.32,320.5392137320044296788482835,0.20419721470036695,13240,6266,4240563.70,2009444.35,903
03/23/2026 04:00:30,320.29,320.388,0.1017971839820074,2705,1030,866395.26,330052.77,30
03/23/2026 04:01:00,320.46,320.42228571428571428571428571,0.05020885734965424,622,3108,199271.15,995933.41,455
03/23/2026 04:01:30,320.53,320.43852727272727272727272727,0.03883080058896758,23527,7216,7540677.50,2312576.53,550
03/23/2026 04:02:00,320.6,320.56909090909090909090909091,0.030512157176069837,156,18538,50007.18,5942699.20,44
03/23/2026 04:02:30,320.59,320.5869696969696969696969697,0.014245647604294738,721,2891,231129.05,926853.52,33
03/23/2026 04:03:00,320.59,320.588,0.004,1153,13200,369628.74,4231788.00,25
03/23/2026 04:03:30,320.58,320.58468085106382978723404255,0.004989803999812159,1924,2032,616795.92,651438.71,47
03/23/2026 04:04:00,320.55,320.55714285714285714285714286,0.004517539514526256,1688,897,541091.40,287542.32,21
03/23/2026 04:04:30,320.55,320.55714285714285714285714286,0.004517539514526256,373,1044,119565.15,334664.64,28
03/23/2026 04:05:00,320.45,320.521,0.031843366656181316,12017,521,3851732.00,167008.13,40
03/23/2026 04:05:30,320.44,320.4655,0.030079062485390065,196,155,62807.54,49673.04,20
03/23/2026 04:06:00,320.43,320.4355,0.0049749371855331,672,165,215328.96,52872.41,20
03/23/2026 04:06:30,320.36,320.385,0.023480114767046693,17551,310,5623030.66,99314.28,38
03/23/2026 04:07:00,320.34,320.40407407407407407407407407,0.057943731278828015,228,3076,73040.11,985582.34,27
03/23/2026 04:07:30,320.35,320.365,0.03387066905483596,36,61,11532.15,19544.33,18
03/23/2026 04:08:00,320.43,320.41,0.024308621740219884,34,419,10893.24,134253.96,22
03/23/2026 04:08:30,320.49,320.44827586206896551724137931,0.03705252241562355,560,268,179428.32,85890.05,29
03/23/2026 04:09:00,320.43,320.47071428571428571428571429,0.02802149320847576,228,89,73058.04,28523.61,28
03/23/2026 04:09:30,320.49,320.475,0.02598076211353316,335,413,107344.05,132362.37,20
03/23/2026 04:10:00,320.43,320.44833333333333333333333333,0.019293061504650377,1106,250,354396.38,80110.29,24
03/23/2026 04:10:30,320.4,320.424,0.012,25,376,8010.0,120481.68,20
03/23/2026 04:11:00,320.38,320.40322580645161290322580645,0.008939617071323238,1103,230,353401.2,73693.04,31
03/23/2026 04:11:30,320.36,320.35956521739130434782608696,0.013344355872367658,292,144,93542.83,46132.30,23
03/23/2026 04:12:00,320.38,320.35454545454545454545454545,0.014373989364401724,829,1949,265555.84,624383.26,33
03/23/2026 04:12:30,320.39,320.33274193548387096774193548,0.03996649220884551,2158,3175,691197.41,1017227.01,62
03/23/2026 04:13:00,320.38,320.35590909090909090909090909,0.03688546041576063,1014,1030,324784.53,330001.50,22
03/23/2026 04:13:30,320.34,320.35047619047619047619047619,0.018892223261787973,1043,165,334114.51,52858.22,21
03/23/2026 04:14:00,320.32,320.31705882352941176470588235,0.014043925160368613,514,85,164634.80,27227.47,17
03/23/2026 04:14:30,320.33,320.32421052631578947368421053,0.011385951396202071,50,1049,16015.30,336017.25,19
03/23/2026 04:15:00,320.33,320.33811320754716981132075472,0.0039125361044014565,184,267,58940.72,85530.78,53
03/23/2026 04:15:30,320.33,320.33631578947368421052631579,0.0048237638894272,438,129,140304.54,41323.86,19
03/23/2026 04:16:00,320.34,320.33730769230769230769230769,0.004435600997950306,1122,219,359410.26,70154.46,26
03/23/2026 04:16:30,320.34,320.338,0.004,61,879,19540.13,281578.86,15
03/23/2026 04:17:00,320.37,320.34565217391304347826086957,0.010964800185146515,4,9720,1281.33,3113706.50,23
