TimeUtc,PriceClose,PriceAvg,PriceStdDev,SellVolume,BuyVolume,SellValue,BuyValue,Count
03/23/2026 06:00:00,31398,31398.307692307692307692307692,0.46153846153846156,48,0,1507112,0,13
03/23/2026 06:00:30,31277,31291.285714285714285714285714,34.99271061118826,12,0,375424,0,7
03/23/2026 06:01:30,31278,31278,0,2,0,62556,0,2
03/23/2026 06:02:30,31280,31280,0,1,0,31280,0,1
03/23/2026 06:03:00,31278,31278,0,10,0,312780,0,5
03/23/2026 06:05:00,31279,31279,0,3,0,93837,0,1
03/23/2026 06:06:00,31278,31278,0,5,0,156390,0,5
03/23/2026 06:06:30,31278,31278,0,7,0,218946,0,7
03/23/2026 06:07:30,31281,31279.5,1.5,10,1,312780,31281,2
03/23/2026 06:08:00,31295,31295,0,0,1,0,31295,1
03/23/2026 06:08:30,31303,31303,0,0,1,0,31303,1
03/23/2026 06:09:00,31324,31321.5,2.5,0,2,0,62643,2
03/23/2026 06:09:30,31325,31325,0,0,1,0,31325,1
03/23/2026 06:10:00,31336,31332,4,0,2,0,62664,2
03/23/2026 06:11:30,31324,31324,0,1,0,31324,0,1
03/23/2026 06:12:30,31347,31347,0,0,2,0,62694,2
03/23/2026 06:13:00,31346,31346,0,1,0,31346,0,1
03/23/2026 06:14:00,31342,31342,0,0,3,0,94026,1
03/23/2026 06:16:00,31352,31352,0,0,10,0,313520,1
03/23/2026 06:19:30,31349,31349,0,6,0,188094,0,2
03/23/2026 06:20:30,31355,31355,0,0,3,0,94065,3
03/23/2026 06:25:00,31355,31355,0,0,1,0,31355,1
03/23/2026 06:26:30,31214,31275.454545454545454545454545,48.21234024672641,12,0,375278,0,11
03/23/2026 06:27:00,31210,31212.6,3.2,2,3,62433,93630,5
03/23/2026 06:27:30,31210,31210,0,0,4,0,124840,1
03/23/2026 06:28:00,31192,31200.6,7.605261336732617,7,4,218439,124768,5
03/23/2026 06:30:00,31192,31192,0,0,25,0,779800,1
03/23/2026 06:30:30,31192,31192,0,0,25,0,779800,1
03/23/2026 06:31:00,31192,31192,0,0,2,0,62384,2
03/23/2026 06:36:00,31199,31199,0,0,33,0,1029567,7
03/23/2026 06:36:30,31199,31199,0,0,1,0,31199,1
03/23/2026 06:38:00,31211,31211,0,0,1,0,31211,1
03/23/2026 06:39:30,31196,31196.166666666666666666666667,0.37267799624996495,16,0,499137,0,6
03/23/2026 06:42:30,31231,31231,0,0,5,0,156155,1
03/23/2026 06:45:00,31249,31249,0,0,10,0,312490,1
03/23/2026 06:48:30,31184,31184,0,0,1,0,31184,1
03/23/2026 06:50:00,31185,31185,0,0,1,0,31185,1
03/23/2026 06:50:30,31190,31190,0,0,3,0,93570,1
03/23/2026 06:51:00,31195,31192.5,2.5,0,6,0,187145,2
03/23/2026 06:55:30,31150,31174.090909090909090909090909,11.912213331127049,14,44,436390,1372184,11
03/23/2026 06:56:30,31139,31140.25,1.0897247358851685,3,1,93422,31139,4
03/23/2026 06:57:00,31139,31139,0,25,25,778475,778475,2
03/23/2026 06:58:00,31138,31138,0,1,0,31138,0,1
03/23/2026 06:59:00,31135,31135,0,3,0,93405,0,1
03/23/2026 07:00:00,31101,31118.833333333333333333333333,10.188501143718616,22,0,684798,0,6
03/23/2026 07:00:30,31099,31099,0,0,4,0,124396,2
03/23/2026 07:01:00,31099,31099,0,0,29,0,901871,3
03/23/2026 07:01:30,31091,31092.25,1.6393596310755,21,0,652918,0,4
03/23/2026 07:04:30,31066,31066,0,0,10,0,310660,1
03/23/2026 07:06:30,31065,31065,0,0,1,0,31065,1
03/23/2026 07:07:00,31065,31065,0,0,1,0,31065,1
03/23/2026 07:08:00,31064,31064.5,0.5,6,10,186384,310650,2
03/23/2026 07:08:30,31060,31060,0,0,4,0,124240,3
03/23/2026 07:10:00,31060,31060,0,0,3,0,93180,1
03/23/2026 07:11:30,31053,31053,0,0,5,0,155265,1
03/23/2026 07:12:30,31055,31055,0,0,2,0,62110,2
03/23/2026 07:14:00,31055,31055,0,0,1,0,31055,1
03/23/2026 07:19:00,31032,31041.777777777777777777777778,6.19637488604386,28,3,869107,93116,9
03/23/2026 07:19:30,31032,31032,0,0,10,0,310320,6
03/23/2026 07:21:00,31020,31020.5,0.5,2,0,62041,0,2
03/23/2026 07:23:00,31024,31024,0,0,1,0,31024,1
03/23/2026 07:24:30,31012,31016,4,10,0,310176,0,4
03/23/2026 07:26:30,30990,30999.285714285714285714285714,4.589250972631145,6,2,185997,61998,7
03/23/2026 07:27:00,30972,30972,0,1,0,30972,0,1
03/23/2026 07:27:30,30972,30972,0,0,47,0,1455684,4
03/23/2026 07:29:00,30970,30969.333333333333333333333333,0.4714045207910317,1,10,30970,309690,3
03/23/2026 07:29:30,30972,30971.5,0.5,0,5,0,154857,4
03/23/2026 07:30:00,30950,30950,0,1,0,30950,0,1
03/23/2026 07:31:00,30965,30965,0,0,27,0,836055,3
03/23/2026 07:31:30,30963,30942.25,14.972892172189045,3,1,92806,30963,4
03/23/2026 07:32:30,30965,30965,0,0,1,0,30965,1
03/23/2026 07:33:00,30960,30961.5,1.5,2,0,61923,0,2
03/23/2026 07:35:00,30960,30960,0,0,3,0,92880,3
03/23/2026 07:38:00,30960,30960,0,0,1,0,30960,1
03/23/2026 07:40:00,30952,30958.642857142857142857142857,2.767338661115788,2,14,61904,433437,14
03/23/2026 07:41:00,30908,30919.083333333333333333333333,11.441578659530432,20,2,618477,61816,12
03/23/2026 07:42:30,30855,30836.125,59.510021915080266,192,1,5916298,30856,48
