TimeUtc,PriceClose,PriceAvg,PriceStdDev,SellVolume,BuyVolume,SellValue,BuyValue,Count
03/17/2026 06:43:00,32908,32905.75,1.7853571071357126,0,4,0,131623,4
03/17/2026 06:43:50,32905,32905,0,12,0,394860,0,1
03/17/2026 06:44:00,32907,32907,0,0,1,0,32907,1
03/17/2026 06:45:00,32915,32918.142857142857142857142857,2.030381486221699,20,17,658313,559628,14
03/17/2026 06:46:00,32922,32918.727272727272727272727273,1.54277843167974,25,94,822950,3094324,11
03/17/2026 06:47:00,32920,32919.666666666666666666666667,0.4714045207910317,0,3,0,98759,3
03/17/2026 06:48:00,32915,32916.714285714285714285714286,2.3123448651769496,36,8,1184973,263348,14
03/17/2026 06:49:00,32915,32915,0,50,0,1645750,0,1
03/17/2026 06:49:50,32915,32915,0,2,0,65830,0,1
03/17/2026 06:51:00,32923,32922.2,0.4,0,17,0,559679,5
03/17/2026 06:53:00,32918,32918,0,1,0,32918,0,1
03/17/2026 06:54:00,32921,32920,1,2,0,65840,0,2
03/17/2026 06:55:00,32920,32919.8,0.4,33,5,1086360,164596,5
03/17/2026 06:55:50,32918,32917.5,0.5,0,10,0,329176,2
03/17/2026 06:56:00,32911,32914.166666666666666666666667,1.4624940645653537,52,1,1711573,32912,12
03/17/2026 06:57:00,32917,32916.5,0.5,0,15,0,493751,6
03/17/2026 06:58:00,32917,32916.909090909090909090909091,0.28747978728803447,2,39,65832,1283763,11
03/17/2026 07:00:00,32924,32922.333333333333333333333333,1.0749676997731399,3,29,98761,954746,15
03/17/2026 07:00:50,32930,32926,2.5298221281347035,2,4,65860,131700,5
03/17/2026 07:01:00,32939,32934.5,2.5495097567963922,4,10,131726,329359,8
03/17/2026 07:01:50,32938,32938,0,0,1,0,32938,1
03/17/2026 07:02:00,32935,32935,0,9,0,296415,0,4
03/17/2026 07:03:00,32922,32922,0,1,0,32922,0,1
03/17/2026 07:04:00,32930,32928.5,1.6583123951777,2,10,65854,329300,4
03/17/2026 07:05:00,32925,32929.777777777777777777777778,3.520662115056635,16,17,526823,559821,9
03/17/2026 07:06:00,32938,32934.666666666666666666666667,2.4343224778007384,18,39,592812,1284406,27
03/17/2026 07:07:00,32931,32932.8,0.9797958971132712,13,0,428118,0,5
03/17/2026 07:07:50,32931,32931,0,0,1,0,32931,1
03/17/2026 07:08:00,32927,32929.583333333333333333333333,2.1392496088322392,12,24,395153,790304,12
03/17/2026 07:09:00,32929,32929,0,0,13,0,428077,12
03/17/2026 07:10:00,32916,32921.235294117647058823529412,4.080504752005794,40,5,1316782,164640,17
03/17/2026 07:10:50,32908,32910.7,2.6095976701399777,43,0,1415191,0,10
03/17/2026 07:11:00,32923,32922.333333333333333333333333,0.4714045207910317,6,0,197534,0,3
03/17/2026 07:13:00,32921,32921.4,0.8,12,0,395054,0,5
03/17/2026 07:13:50,32925,32925,0,0,12,0,395100,5
03/17/2026 07:14:00,32922,32922,0,1,0,32922,0,1
03/17/2026 07:15:00,32949,32936.282608695652173913043478,6.009640962574621,5,141,164712,4643939,46
03/17/2026 07:15:50,32949,32949,0,0,2,0,65898,1
03/17/2026 07:16:00,32955,32953.190476190476190476190476,2.6658161909101725,23,20,757907,659073,21
03/17/2026 07:16:50,32957,32956.5,0.8660254037844386,1,5,32955,164785,4
03/17/2026 07:17:00,32965,32963.222222222222222222222222,3.0711722135745005,0,32,0,1054799,27
03/17/2026 07:18:00,32949,32944.5,2.692582403567252,3,1,98829,32949,4
03/17/2026 07:19:00,32931,32936.5,5.5901699437494745,7,0,230550,0,6
03/17/2026 07:20:00,32946,32938.5,7.5,1,3,32931,98838,2
03/17/2026 07:22:00,32948,32948,0,3,0,98844,0,2
03/17/2026 07:24:00,32961,32957.818181818181818181818182,4.608651583867846,3,36,98883,1186417,11
03/17/2026 07:24:50,32961,32961,0,1,0,32961,0,1
03/17/2026 07:25:00,32960,32960,0,9,0,296640,0,2
03/17/2026 07:25:50,32969,32969.111111111111111111111111,1.286204100310025,19,17,626422,560452,9
03/17/2026 07:26:00,32983,32980.7,2.9171904291629644,0,32,0,1055377,20
03/17/2026 07:26:50,32979,32979,0,5,0,164895,0,3
03/17/2026 07:27:00,32978,32982.5,2.598076211353316,2,5,65956,164920,4
03/17/2026 07:28:00,32980,32978.25,1.0897247358851685,39,1,1286109,32980,4
03/17/2026 07:28:50,32977,32977,0,1,0,32977,0,1
03/17/2026 07:29:00,32976,32977.666666666666666666666667,1.247219128924647,2,1,65954,32979,3
03/17/2026 07:30:00,32976,32978.285714285714285714285714,1.5959131478593076,9,34,296789,1121278,35
03/17/2026 07:30:50,32976,32977,1,7,2,230832,65956,2
03/17/2026 07:31:00,32976,32976,0,1,0,32976,0,1
03/17/2026 07:33:00,32978,32978,0,0,2,0,65956,2
03/17/2026 07:33:50,32976,32976.5,0.5,4,1,131906,32977,4
03/17/2026 07:34:00,32977,32977,0,0,1,0,32977,1
03/17/2026 07:35:00,32978,32978,0,0,1,0,32978,1
03/17/2026 07:36:00,32975,32974.25,0.4330127018922193,10,1,329740,32975,4
03/17/2026 07:37:00,32973,32973.75,0.4330127018922193,11,0,362713,0,4
03/17/2026 07:38:00,32974,32974,0,0,2,0,65948,1
03/17/2026 07:39:00,32971,32972,1,2,0,65944,0,2
03/17/2026 07:40:00,32972,32971.75,0.4330127018922193,1,8,32971,263776,4
03/17/2026 07:40:50,32971,32971,0,5,0,164855,0,1
03/17/2026 07:41:00,32969,32970.230769230769230769230769,0.890448992522325,106,16,3494722,527536,13
03/17/2026 07:42:00,32965,32965.333333333333333333333333,0.7453559924999299,18,0,593376,0,6
03/17/2026 07:43:00,32960,32960.481481481481481481481481,1.6637835144604594,58,64,1911713,2109424,27
03/17/2026 07:44:00,32955,32958.333333333333333333333333,2.3570226039551585,2,19,65910,626240,3
03/17/2026 07:44:50,32952,32952,0,5,0,164760,0,5
03/17/2026 07:47:00,32972,32971.571428571428571428571429,0.4948716593053935,2,8,65942,263773,7
03/17/2026 07:48:00,32975,32974.166666666666666666666667,0.37267799624996495,1,6,32975,197844,6
03/17/2026 07:49:00,32975,32974.25,0.4330127018922193,0,22,0,725438,4
03/17/2026 07:50:00,32972,32973.333333333333333333333333,0.7766431633476234,0,24,0,791360,21
03/17/2026 07:50:50,32970,32970,0,1,0,32970,0,1
03/17/2026 07:51:00,32969,32969.666666666666666666666667,0.4714045207910317,3,0,98909,0,3
03/17/2026 07:54:00,32970,32969.625,0.8569568250501305,6,7,197812,230791,8
03/17/2026 07:55:00,32966,32966,0,16,0,527456,0,6
03/17/2026 07:56:00,32973,32972.888888888888888888888889,0.31426968052735443,5,8,164860,263784,9
03/17/2026 07:57:00,32977,32977,0,0,1,0,32977,1
03/17/2026 07:58:00,32975,32975,0,20,0,659500,0,4
03/17/2026 07:58:50,32973,32973.5,0.5,20,0,659463,0,2
03/17/2026 08:00:00,32978,32977.538461538461538461538462,1.2162606385262997,0,16,0,527642,13
03/17/2026 08:01:00,32979,32977.6,1.4966629547095764,6,8,197865,263824,5
03/17/2026 08:02:50,32978,32978,0,3,0,98934,0,2
03/17/2026 08:03:00,32977,32977,0,0,1,0,32977,1
03/17/2026 08:05:00,32979,32978.666666666666666666666667,0.8498365855987975,11,10,362766,329789,12
03/17/2026 08:06:00,32980,32980,0,0,1,0,32980,1
03/17/2026 08:07:00,32981,32981,0,0,5,0,164905,1
03/17/2026 08:07:50,32982,32982,0,0,1,0,32982,1
03/17/2026 08:08:00,32981,32983.75,1.6393596310755,1,6,32981,197909,4
03/17/2026 08:09:50,32981,32981,0,0,10,0,329810,1
03/17/2026 08:10:00,32978,32979.5,1.2583057392117916,14,1,461707,32983,12
03/17/2026 08:11:00,32990,32987.333333333333333333333333,1.4907119849998598,1,26,32984,857675,9
03/17/2026 08:11:50,32985,32987,2,1,1,32985,32989,2
03/17/2026 08:12:00,32985,32989.108108108108108108108108,4.285637760630227,65,103,2143965,3398198,37
03/17/2026 08:12:50,33000,32997.266666666666666666666667,3.7321426672742413,0,29,0,956929,15
03/17/2026 08:13:00,32995,33000.518518518518518518518519,3.725491470142095,83,44,2738895,1452050,27
03/17/2026 08:14:00,32975,32980.071428571428571428571429,5.541586746904661,170,3,5607020,98943,28
03/17/2026 08:15:00,32986,32981.40625,6.698224461564423,72,31,2374351,1022507,32
03/17/2026 08:15:50,32989,32989,0,0,5,0,164945,1
03/17/2026 08:16:00,32981,32981,0,0,1,0,32981,1
03/17/2026 08:16:50,32973,32973,0,15,0,494595,0,1
03/17/2026 08:17:00,32972,32972,0,2,0,65944,0,2
03/17/2026 08:18:00,32941,32953.379310344827586206896552,7.160301443777004,166,12,5470409,395508,29
03/17/2026 08:19:00,32915,32919.107142857142857142857143,8.661653115536177,23,32,757107,1053318,28
03/17/2026 08:20:00,32927,32925.923076923076923076923077,0.9970370305242862,18,20,592650,658540,13
03/17/2026 08:21:50,32933,32933,0,0,1,0,32933,1
03/17/2026 08:22:00,32926,32931,5,10,2,329360,65852,2
03/17/2026 08:23:00,32922,32921.75,0.4330127018922193,4,0,131687,0,4
03/17/2026 08:23:50,32936,32934.5,0.8660254037844386,0,20,0,658689,8
03/17/2026 08:24:00,32933,32933,0,3,0,98799,0,1
03/17/2026 08:25:00,32937,32926,3.986086914367133,11,111,362204,3654869,36
03/17/2026 08:26:00,32924,32924,0,0,10,0,329240,4
03/17/2026 08:27:00,32924,32924,0,0,51,0,1679124,20
03/17/2026 08:27:50,32924,32924,0,0,10,0,329240,3
03/17/2026 08:28:00,32922,32924.142857142857142857142857,0.989743318610787,4,50,131688,1646215,14
03/17/2026 08:30:00,32919,32920,0.7745966692414834,14,0,460879,0,10
03/17/2026 08:31:00,32919,32919,0,1,0,32919,0,1
03/17/2026 08:32:00,32920,32920,0,1,0,32920,0,1
03/17/2026 08:32:50,32920,32920,0,1,0,32920,0,1
03/17/2026 08:34:00,32915,32916.8,1.7204650534085253,21,4,691232,131675,10
03/17/2026 08:34:50,32917,32917,0,8,0,263336,0,1
03/17/2026 08:35:00,32920,32919.380952380952380952380952,1.0454523047666737,8,85,263336,2798186,21
03/17/2026 08:35:50,32920,32920,0,0,14,0,460880,2
